Uniq id,Product Id,gender,masterCategory,Product Category,Product Name,baseColour,Product Brand,season,Product Rating,Product Reviews Count,usage,Product Description,Product Image Url,Product ,Tags,Product Tags
15,46885,Boys,Footwear,Flip Flops,Flip Flops,Navy Blue,Vega,Fall,4.2,136,Casual,Ben 10 Boys Navy Blue Slippers,http://assets.myntassets.com/v1/images/style/properties/5cab6a2305d0e63142f721228aa6d293_images.jpg,Flip Flops,myntassets.com,"Flip Flops,myntassets.com"
16,12369,Men,Apparel,Topwear,Shirts,Purple,Clairol,Fall,3.7,2935,Formal,Reid & Taylor Men Check Purple Shirts,http://assets.myntassets.com/v1/images/style/properties/8bc9be576081baae77e8561b1132288f_images.jpg,Shirts,myntassets.com,"Shirts,myntassets.com"
17,29928,Men,Accessories,Watches,Watches,Black,Daily Concepts,Winter,4.4,10,Casual,Police Men Black Dial Watch PL12889JVSB,http://assets.myntassets.com/v1/images/style/properties/Police-Men-Black-Dial-Watch_5bd8cae4fc61052a6f00cfcd69c4a936_images.jpg,Watches,myntassets.com,"Watches,myntassets.com"
18,42419,Girls,Apparel,Topwear,Tops,White,Magnifeko,Summer,4.8,12,Casual,Gini and Jony Girls Knit White Top,http://assets.myntassets.com/v1/images/style/properties/f3964f76c78edd85f4512d98b26d52e9_images.jpg,Tops,myntassets.com,"Tops,myntassets.com"
19,51832,Women,Apparel,Innerwear,Bra,Beige,Hard Candy,Summer,4,38,Casual,Bwitch Beige Full-Coverage Bra BW335,http://assets.myntassets.com/v1/image/style/properties/51832/Bwitch-Beige-Full-Coverage-Bra-BW335_1_d516fa94f14f0a5ecc90df7754390eb5.jpg,Bra,myntassets.com,"Bra,myntassets.com"
20,47359,Women,Accessories,Bags,Handbags,Brown,Crest,Summer,4.5,249,Casual,Baggit Women Brown Handbag,http://assets.myntassets.com/v1/images/style/properties/b14c7bf275c6edca3e849200fb7cbf6c_images.jpg,Handbags,myntassets.com,"Handbags,myntassets.com"
21,17429,Men,Accessories,Watches,Watches,Black,L'Oreal Paris,Winter,4,6494,Casual,CASIO G-Shock Men Black Digital Watch G-7710-1DR G223,http://assets.myntassets.com/assets/images/17429/2018/3/5/11520250143953-CASIO-G-Shock-Men-Black-Digital-Watch-G223-8211520250143786-1.jpg,Watches,myntassets.com,"Watches,myntassets.com"
22,12967,Men,Footwear,Sandal,Sandals,Black,TERRO,Fall,5,39,Casual,ADIDAS Men Spry M Black Sandals,http://assets.myntassets.com/v1/images/style/properties/c5a22e9ccf9b10e0a89ffbbf3e386584_images.jpg,Sandals,myntassets.com,"Sandals,myntassets.com"
23,6842,Unisex,Accessories,Shoe Accessories,Shoe Accessories,Black,ACT,Summer,5,32,Casual,Timberland Unisex Rubber Sole Brush Shoe Accessories,http://assets.myntassets.com/v1/images/style/properties/92589dc7416b70f1a5c6a4c1f13d14e3_images.jpg,Shoe Accessories,myntassets.com,"Shoe Accessories,myntassets.com"
24,13089,Men,Apparel,Topwear,Sweatshirts,Grey,Refresh,Fall,5,5,Sports,ADIDAS Men Lfc Auth Hood Grey Sweatshirts,http://assets.myntassets.com/v1/images/style/properties/59912a0287751ff0475c8748dbcf4ea0_images.jpg,Sweatshirts,myntassets.com,"Sweatshirts,myntassets.com"
25,18461,Men,Personal Care,Fragrance,Deodorant,White,Hempz,Spring,5,7,Casual,David Beckham Signature Men Deos,http://assets.myntassets.com/v1/images/style/properties/3295fc148576955745c0b259d7968727_images.jpg,Deodorant,myntassets.com,"Deodorant,myntassets.com"
26,9036,Men,Footwear,Shoes,Formal Shoes,Black,Better Homes & Gardens,Winter,4.1,128,Formal,Buckaroo Men Flores Black Formal Shoes,http://assets.myntassets.com/v1/images/style/properties/06edc2da9c6d103d299e5e8dafc5b6b9_images.jpg,Formal Shoes,myntassets.com,"Formal Shoes,myntassets.com"
27,48311,Women,Accessories,Jewellery,Bracelet,Bronze,Cetaphil,Winter,5,5,Casual,Pitaraa Women Bronze Beaded Bracelet,http://assets.myntassets.com/v1/images/style/properties/Pitaraa-Women-Golden-Brass-Bead-Bracelet_179aa06939858b54e8e6c80fe12d94d5_images.jpg,Bracelet,myntassets.com,"Bracelet,myntassets.com"
28,7990,Men,Apparel,Topwear,Tshirts,Navy Blue,Hilitand,Fall,5,5,Sports,Fila Men's Round Neck Navy Blue T-shirt,http://assets.myntassets.com/v1/images/style/properties/296a8c388d05d67346db88af27d3b763_images.jpg,Tshirts,myntassets.com,"Tshirts,myntassets.com"
29,56019,Women,Personal Care,Lips,Lipstick,Brown,La Mer,Spring,5,5,Casual,Colorbar Soft Touch Show Stopper Copper Lipstick 037,http://assets.myntassets.com/assets/images/56019/2019/1/11/49d718c4-6d86-42d1-8d00-1ce4b7851b2c1547190759839-Colorbar-Soft-Touch-Show-Stopper-Copper-Lipstick-037-2715471-1.jpg,Lipstick,myntassets.com,"Lipstick,myntassets.com"
30,21977,Women,Accessories,Bags,Handbags,Brown,Liverite,Winter,5,4,Casual,Murcia Women Casual Brown Handbag,http://assets.myntassets.com/v1/images/style/properties/88d0bc675d72477729f38c30332e749a_images.jpg,Handbags,myntassets.com,"Handbags,myntassets.com"
31,37812,Men,Apparel,Topwear,Shirts,Navy Blue,Aveeno,Summer,5,50,Formal,John Players Men Navy Blue Shirt,http://assets.myntassets.com/v1/images/style/properties/3af9f145845d8453a066322de35980af_images.jpg,Shirts,myntassets.com,"Shirts,myntassets.com"
32,4729,Boys,Apparel,Topwear,Tshirts,Green,Head & Shoulders,Summer,5,5,Casual,Disney Kids Boy's Crew Sea Life Sialing Green Teen Kidswear,http://assets.myntassets.com/v1/images/style/properties/0108969213975af06095ff84a0ec0c72_images.jpg,Tshirts,myntassets.com,"Tshirts,myntassets.com"
33,56825,Men,Apparel,Topwear,Shirts,Brown,Crest,Summer,4.5,468,Casual,John Players Men Brown Shirt,http://assets.myntassets.com/v1/images/style/properties/John-Players-Men-Brown-Shirt_7eec3b0568f65dc8f39a534376538551_images.jpg,Shirts,myntassets.com,"Shirts,myntassets.com"
34,39988,Men,Footwear,Shoes,Casual Shoes,White,DenTek,Winter,5,3,Casual,Gas Men Europa White Shoes,http://assets.myntassets.com/v1/images/style/properties/9c3d77147758ab10f12caf6184fe13ef_images.jpg,Casual Shoes,myntassets.com,"Casual Shoes,myntassets.com"
35,59051,Women,Footwear,Shoes,Flats,Black,Crest,Winter,4.7,51,Casual,Carlton London Women Black & Gold Toned Flats,http://assets.myntassets.com/v1/images/style/properties/Carlton-London-Women-Black-Gladiator-Sandals_b8f695202ccc1889f65d57b4000a888f_images.jpg,Flats,myntassets.com,"Flats,myntassets.com"
36,20099,Women,Apparel,Topwear,Kurtas,Green,Crest,Fall,4.9,56,Ethnic,Diva Women Embroided Green Kurta,http://assets.myntassets.com/v1/images/style/properties/08a0c29d2ea67ca9449aa54466f6b0a1_images.jpg,Kurtas,myntassets.com,"Kurtas,myntassets.com"
37,58183,Women,Accessories,Bags,Handbags,White,Zud,Summer,4.7,20,Casual,Rocky S Women White Handbag,http://assets.myntassets.com/v1/images/style/properties/Rocky-S-Women-White-Handbag_1440a0abd2ddaf3199965e604831b164_images.jpg,Handbags,myntassets.com,"Handbags,myntassets.com"
38,29742,Women,Accessories,Bags,Handbags,Teal,Wahl,Summer,4.7,388,Casual,Kiara Women Teal Handbag,http://assets.myntassets.com/v1/images/style/properties/8b58c65e5634233b165c40cdbbcf58b8_images.jpg,Handbags,myntassets.com,"Handbags,myntassets.com"
39,51658,Women,Accessories,Watches,Watches,Copper,Equate,Winter,4.4,227,Casual,Fossil Women Copper Chronograph Watch CH2589,http://assets.myntassets.com/v1/images/style/properties/072af0cd079f20296c72f3594a21f141_images.jpg,Watches,myntassets.com,"Watches,myntassets.com"
40,3954,Women,Apparel,Topwear,Tshirts,Pink,Kaboom,Summer,4.6,209,Casual,Jealous 21 Women's Pink T-shirt,http://assets.myntassets.com/v1/images/style/properties/b56e261f9206aa95e42c43f4e62d0e5a_images.jpg,Tshirts,myntassets.com,"Tshirts,myntassets.com"
41,18839,Men,Accessories,Belts,Belts,Black,Pantene,Fall,4.1,176,Formal,Peter England Men Formal Black Belt,http://assets.myntassets.com/v1/images/style/properties/Peter-England-Men-Formal-Black-Beltbc472bd919c505690ecbc1eed8af7fbf_images.jpg,Belts,myntassets.com,"Belts,myntassets.com"
42,2886,Women,Footwear,Shoes,Flats,Brown,Attends,Winter,3.8,13,Casual,Catwalk Women Leather Brown Flats,http://assets.myntassets.com/v1/images/style/properties/94a9deea53125663d9bbe61cb38b84b4_images.jpg,Flats,myntassets.com,"Flats,myntassets.com"
43,23278,Men,Accessories,Watches,Watches,Off White,Medline,Winter,2,1,Casual,Maxima Ssteele Men Off White Watch,http://assets.myntassets.com/v1/images/style/properties/93aa34922c6446706c003ba2255747f5_images.jpg,Watches,myntassets.com,"Watches,myntassets.com"
44,28690,Women,Apparel,Topwear,Kurtas,Beige,Finish,Summer,4.6,112,Ethnic,W Women Printed Beige Kurta,http://assets.myntassets.com/v1/images/style/properties/df0a23e732654c5e7db3888e39393e79_images.jpg,Kurtas,myntassets.com,"Kurtas,myntassets.com"
45,8580,Men,Apparel,Topwear,Waistcoat,Grey,Crest,Fall,5,86,Casual,Scullers Men  Grey Waistcoat,http://assets.myntassets.com/v1/images/style/properties/0d2e2ceaaf6d09d447caad678b2edbe6_images.jpg,Waistcoat,myntassets.com,"Waistcoat,myntassets.com"
46,3168,Men,Footwear,Shoes,Sports Shoes,White,Clairol,Fall,3.9,401,Sports,Nike Men's Incinerate MSL White Blue Shoe,http://assets.myntassets.com/v1/images/style/properties/4eff2353c62ec8b7bca9fbbaf5996bd2_images.jpg,Sports Shoes,myntassets.com,"Sports Shoes,myntassets.com"
47,18005,Men,Apparel,Bottomwear,Shorts,Black,Crest,Summer,4.7,15,Sports,Puma Men Long Logo Black Bermuda,http://assets.myntassets.com/v1/images/style/properties/91ca48e3204f23cd376fad7f186875bf_images.jpg,Shorts,myntassets.com,"Shorts,myntassets.com"
48,17871,Men,Apparel,Innerwear,Briefs,Maroon,CHI,Winter,5,75,Casual,Levis Men Boxer Maroon Brief,http://assets.myntassets.com/v1/images/style/properties/155353efc674d253e30c213ca07bbb0b_images.jpg,Briefs,myntassets.com,"Briefs,myntassets.com"
49,9452,Men,Apparel,Topwear,Shirts,Red,Sexy Hair,Fall,4.6,10,Formal,John Miller Men Stripes White Red Shirts,http://assets.myntassets.com/v1/images/style/properties/5e557eb0be7c6420f7c7a6bbaa432993_images.jpg,Shirts,myntassets.com,"Shirts,myntassets.com"
50,38402,Women,Accessories,Belts,Belts,Black,Makari,Summer,5,5,Casual,Baggit Women Hood Dabang Black Belt,http://assets.myntassets.com/v1/images/style/properties/2eb3aa5eefb3319f10f7815100a18e3c_images.jpg,Belts,myntassets.com,"Belts,myntassets.com"
51,44984,Women,Accessories,Watches,Watches,White,Truform,Winter,4.2,59,Casual,Maxima Women White Dial Watch,http://assets.myntassets.com/v1/images/style/properties/676dd802241d46a5ce28c78d1dabbc5a_images.jpg,Watches,myntassets.com,"Watches,myntassets.com"
52,10268,Men,Footwear,Shoes,Formal Shoes,Black,Fudge Professional,Fall,5,5,Formal,Clarks Men Hang Work Leather Black Formal Shoes,http://assets.myntassets.com/v1/images/style/properties/2976e4095e7b3ae2de99df54d2adeaaa_images.jpg,Formal Shoes,myntassets.com,"Formal Shoes,myntassets.com"
53,45856,Women,Apparel,Topwear,Kurtas,Brown,SIMPLE WONDERS,Summer,4.7,19,Ethnic,Vishudh Women Brown Kurta,http://assets.myntassets.com/v1/images/style/properties/fee54b57fcd02b7c07d42b0918025099_images.jpg,Kurtas,myntassets.com,"Kurtas,myntassets.com"
54,32138,Men,Apparel,Innerwear,Briefs,Blue,Natracare,Summer,3,2,Casual,Playboy Men Blue Titanium Briefs,http://assets.myntassets.com/v1/images/style/properties/Playboy-Men-Blue-Titanium-Briefs_5c63c52edabbab43f6aefc52842d73f2_images.jpg,Briefs,myntassets.com,"Briefs,myntassets.com"
55,59435,Men,Footwear,Shoes,Formal Shoes,Black,Sun&Skincare,Summer,5,5,Formal,Arrow Men Black Formal Shoes,http://assets.myntassets.com/v1/images/style/properties/Arrow-Men-Black-Formal-Shoes_70a3c7c185338a5636c8c0e668829bb6_images.jpg,Formal Shoes,myntassets.com,"Formal Shoes,myntassets.com"
56,5891,Men,Apparel,Topwear,Tshirts,Black,Depend,Summer,5,1412,Casual,Puma Men's Stripe Polo Black T-shirt,http://assets.myntassets.com/v1/images/style/properties/02e4e32cd9d09052f0ec3d46fa747d39_images.jpg,Tshirts,myntassets.com,"Tshirts,myntassets.com"
57,38630,Women,Apparel,Topwear,Tshirts,Purple,Grisi,Summer,5,5,Casual,Nike Women Purple Polo T-shirt,http://assets.myntassets.com/v1/images/style/properties/206a0614c4644cd8816576efd47d60d8_images.jpg,Tshirts,myntassets.com,"Tshirts,myntassets.com"
58,4943,Men,Apparel,Topwear,Shirts,White,L'Oreal Paris,Summer,5,5,Casual,Gini and Jony Boy's Kaleb White Brown Kidswear,http://assets.myntassets.com/v1/images/style/properties/1aae016d0abb224cfc18e6bd9bb01ad1_images.jpg,Shirts,myntassets.com,"Shirts,myntassets.com"
59,11188,Men,Accessories,Watches,Watches,Silver,Humco,Winter,5,1,Casual,Carrera Men Dial steel finish strap Silver Watches,http://assets.myntassets.com/v1/images/style/properties/b2959d44db543af13d78492225a830de_images.jpg,Watches,myntassets.com,"Watches,myntassets.com"
60,10866,Men,Apparel,Topwear,Tshirts,Red,Dr. Hauschka,Fall,5,5,Casual,Wrangler Men Motor Rider Red T-Shirts,http://assets.myntassets.com/v1/images/style/properties/b34550bc6415dcd66892de4ef2837fd9_images.jpg,Tshirts,myntassets.com,"Tshirts,myntassets.com"
61,59607,Women,Apparel,Saree,Sarees,Grey,OGX,Fall,4.3,44,Ethnic,FNF Pink & Grey Wedding Collection Sari,http://assets.myntassets.com/v1/images/style/properties/FNF-Green-Collection-for-Wedding-Wear-Sari_6c60eef0b8d9cff87cfcd1f73953e5cd_images.jpg,Sarees,myntassets.com,"Sarees,myntassets.com"
62,15528,Men,Apparel,Topwear,Tshirts,Black,COVERGIRL,Fall,4.3,713,Casual,Puma Men Scribble Black Tshirts,http://assets.myntassets.com/v1/images/style/properties/cd16e955e4b6b3f9d7089c15652a3f00_images.jpg,Tshirts,myntassets.com,"Tshirts,myntassets.com"
63,45258,Men,Accessories,Watches,Watches,Black,Scotch-Brite,Winter,4.3,6,Casual,CASIO EDIFICE Men Black Dial Chronograph Watch ED60,http://assets.myntassets.com/v1/images/style/properties/b8024bdd3fc47c2b20bd840f89811979_images.jpg,Watches,myntassets.com,"Watches,myntassets.com"
64,42841,Women,Accessories,Bags,Handbags,Beige,Sportuli,Summer,5,5,Casual,French Connection Women Beige Handbag,http://assets.myntassets.com/v1/images/style/properties/97d3bb4a71c9f7da88305ce9144d8576_images.jpg,Handbags,myntassets.com,"Handbags,myntassets.com"
65,22198,Men,Footwear,Shoes,Casual Shoes,Black,Neutrogena,Fall,4.2,741,Casual,Timberland Men Black Casual Shoes,http://assets.myntassets.com/v1/images/style/properties/70e74ca34b3b534b19d6b006d5bfad0a_images.jpg,Casual Shoes,myntassets.com,"Casual Shoes,myntassets.com"
66,29570,Men,Footwear,Shoes,Casual Shoes,Purple,Sivan Health and Fitness,Summer,5,2,Casual,Vans Men Classic Slip-On Purple & Black Shoes,http://assets.myntassets.com/v1/images/style/properties/49f884ddf4420d869ad143857d3bc33d_images.jpg,Casual Shoes,myntassets.com,"Casual Shoes,myntassets.com"
67,43993,Women,Personal Care,Fragrance,Perfume and Body Mist,Pink,Fixodent,Spring,4.7,101,Casual,Police Women Passion Perfume,http://assets.myntassets.com/v1/images/style/properties/438c41900a80acabb3ef197f0559a9eb_images.jpg,Perfume and Body Mist,myntassets.com,"Perfume and Body Mist,myntassets.com"
68,6628,Men,Footwear,Shoes,Sports Shoes,White,Herbal Essences,Summer,4.2,66,Sports,ADIDAS Men's Lowell White Silver Shoe,http://assets.myntassets.com/v1/images/style/properties/0707b75d2d44e9cec9d27c944294ddbe_images.jpg,Sports Shoes,myntassets.com,"Sports Shoes,myntassets.com"
69,54924,Men,Apparel,Bottomwear,Shorts,Blue,Tinactin,Summer,4.6,5,Casual,Do U Speak Green Men Blue Shorts,http://assets.myntassets.com/v1/images/style/properties/Do-u-speak-green-Men-Blue-Shorts_40b6775eae62124195817a64d4ae4a93_images.jpg,Shorts,myntassets.com,"Shorts,myntassets.com"
70,26538,Men,Footwear,Shoes,Casual Shoes,Red,Design Essentials,Fall,5,1,Casual,ID Men Red Shoes,http://assets.myntassets.com/v1/images/style/properties/6a6ebc47eaf2fe034bcfd94060a285ba_images.jpg,Casual Shoes,myntassets.com,"Casual Shoes,myntassets.com"
71,35913,Women,Accessories,Bags,Handbags,Black,L'Oreal Paris,Summer,5,1860,Casual,Peperone Women Black & White Handbag,http://assets.myntassets.com/v1/images/style/properties/73bc7d63943231e4df1c7b7600496a3d_images.jpg,Handbags,myntassets.com,"Handbags,myntassets.com"
72,49495,Men,Footwear,Shoes,Casual Shoes,Khaki,La Roche-Posay,Summer,5,25,Casual,Vans Men Khaki Shoes,http://assets.myntassets.com/v1/images/style/properties/Vans-Men-Khaki-Shoes_dcaf7c703e9c0396650529df2b2a8893_images.jpg,Casual Shoes,myntassets.com,"Casual Shoes,myntassets.com"
73,9660,Men,Apparel,Topwear,Shirts,Pink,L'Oreal Paris,Fall,3.4,978,Casual,Indigo Nation Men Reversible Bling Pink Shirts,http://assets.myntassets.com/v1/images/style/properties/0be615f02ae1f1cfe78155555a79007c_images.jpg,Shirts,myntassets.com,"Shirts,myntassets.com"
74,2288,Women,Apparel,Topwear,Tshirts,Black,RESOLVE,Fall,5,57,Sports,Nike Women Black T-shirt,http://assets.myntassets.com/v1/images/style/properties/135f9aa8141d682fc218393049c70324_images.jpg,Tshirts,myntassets.com,"Tshirts,myntassets.com"
75,23876,Men,Apparel,Topwear,Sweatshirts,Blue,Coochy,Fall,5,4,Casual,ADIDAS Men Blue Sweatshirt,http://assets.myntassets.com/v1/images/style/properties/fcd52c6506b43f3af116a62c2ea81204_images.jpg,Sweatshirts,myntassets.com,"Sweatshirts,myntassets.com"
76,18237,Men,Apparel,Topwear,Tshirts,Red,Gibs Grooming,Fall,5,6,Casual,Manchester United Men Solid Red Tshirt,http://assets.myntassets.com/v1/images/style/properties/eba1c1b241555d8afa3f7232ed2c6933_images.jpg,Tshirts,myntassets.com,"Tshirts,myntassets.com"
77,54118,Women,Footwear,Shoes,Heels,Black,L'Oreal Paris,Winter,5,9,Casual,Rocia Women Black Flats,http://assets.myntassets.com/v1/images/style/properties/8d6fd53f28e010658cdf5c14c43d0cb0_images.jpg,Heels,myntassets.com,"Heels,myntassets.com"
78,2872,Women,Footwear,Shoes,Heels,Brown,Turtle Wax,Winter,4,85,Casual,Catwalk Women Leather Flats,http://assets.myntassets.com/v1/images/style/properties/4d90e05b9e99e203b3ce191439619bcb_images.jpg,Heels,myntassets.com,"Heels,myntassets.com"
79,49653,Women,Apparel,Topwear,Tops,Green,Paul Sebastian,Summer,4.8,28,Casual,Mineral Women Green Top,http://assets.myntassets.com/v1/images/style/properties/fe446adf94f9beb301b61bfc75a70bfa_images.jpg,Tops,myntassets.com,"Tops,myntassets.com"
80,8574,Women,Footwear,Sandal,Sandals,Pink,Rimmel,Fall,5,2,Casual,Crocs Dora Boots Pink Sandals,http://assets.myntassets.com/v1/images/style/properties/0be6693dafb4261645b22c6e9e7e67f4_images.jpg,Sandals,myntassets.com,"Sandals,myntassets.com"
81,16957,Men,Accessories,Eyewear,Sunglasses,Black,Nutrisse,Winter,5,5,Casual,Image Men Sunglasses,http://assets.myntassets.com/v1/images/style/properties/Image-Men-Classic-Eyewear-Black-Sunglasses_a37f3b87d0d05062ed063adc7aac78bf_images.jpg,Sunglasses,myntassets.com,"Sunglasses,myntassets.com"
82,19123,Men,Footwear,Flip Flops,Flip Flops,Silver,ProCare,Fall,5,2,Casual,Lotto Men XL Water Man Silver Slippers,http://assets.myntassets.com/v1/images/style/properties/69482728a521cbd2ba571e36016d5f63_images.jpg,Flip Flops,myntassets.com,"Flip Flops,myntassets.com"
83,13419,Men,Apparel,Topwear,Tshirts,Pink,ShiKai,Summer,5,5,Casual,United Colors of Benetton Men Solid Pink Polo T-shirts,http://assets.myntassets.com/v1/images/style/properties/8d7f0bbb0bdefcbcc692bcdf4a6400ee_images.jpg,Tshirts,myntassets.com,"Tshirts,myntassets.com"
84,17885,Men,Apparel,Innerwear,Innerwear Vests,Grey,Eucerin,Summer,4.6,126,Casual,Levis Men Comfort Style Grey Innerwear Vest,http://assets.myntassets.com/v1/images/style/properties/c5c095c0e09eb200aa8d57457c53ec07_images.jpg,Innerwear Vests,myntassets.com,"Innerwear Vests,myntassets.com"
85,43369,Men,Footwear,Flip Flops,Flip Flops,Black,cleen beauty,Summer,4.6,40,Casual,Reebok Men Black Possession Flip Flops,http://assets.myntassets.com/v1/images/style/properties/647838a2e988ab55b76c9aa9ddd15ad7_images.jpg,Flip Flops,myntassets.com,"Flip Flops,myntassets.com"
86,48781,Women,Accessories,Jewellery,Pendant,Silver,Bioastin,Summer,5,3,Casual,Lucera Women Silver Pendant,http://assets.myntassets.com/v1/images/style/properties/aff52e6e6bc208923a493612e8f6a3e7_images.jpg,Pendant,myntassets.com,"Pendant,myntassets.com"
87,44970,Men,Accessories,Watches,Watches,White,L'Oreal Paris,Winter,3.1,2144,Casual,Maxima Men White Dial Analog Chronograph Watch,http://assets.myntassets.com/v1/images/style/properties/80c170d3a8e46c81f22ecebd1f772d32_images.jpg,Watches,myntassets.com,"Watches,myntassets.com"
88,56489,Women,Personal Care,Nails,Nail Polish,Bronze,Joico,Spring,5,5,NA,Streetwear Ash Nail Polish # 31,http://assets.myntassets.com/v1/images/style/properties/Streetwear-Ash-Nail-Polish--31_21d33100dbf0e4b8bb0b33a980de469b_images.jpg,Nail Polish,myntassets.com,"Nail Polish,myntassets.com"
89,39524,Unisex,Accessories,Bags,Laptop Bag,Orange,NatraTouch,Summer,4.5,2,Casual,Peter England Unisex Orange Sleeve Bag,http://assets.myntassets.com/v1/images/style/properties/1847a81fa1d237bfbae1e797dff55909_images.jpg,Laptop Bag,myntassets.com,"Laptop Bag,myntassets.com"
90,33822,Men,Footwear,Shoes,Sports Shoes,White,LISTERINE,Summer,4.8,767,Sports,Puma Men Axis White & Grey Sports Shoes,http://assets.myntassets.com/v1/images/style/properties/52ad8ae288ba080d88a116b3c70305ec_images.jpg,Sports Shoes,myntassets.com,"Sports Shoes,myntassets.com"
91,58513,Women,Apparel,Topwear,Tops,Off White,Bluebonnet,Summer,5,5,Casual,Tonga Women Maroon Top,http://assets.myntassets.com/v1/images/style/properties/Tonga-Women-Maroon-Top_e5cc855ba59e5640817434d45f9c088d_images.jpg,Tops,myntassets.com,"Tops,myntassets.com"
92,25947,Women,Accessories,Scarves,Scarves,Brown,Hard Candy,Summer,4.5,4,Casual,Femella Women Brown Scarf,http://assets.myntassets.com/v1/images/style/properties/aeb9132a29d8844aca73a4544d8135c5_images.jpg,Scarves,myntassets.com,"Scarves,myntassets.com"
93,52029,Unisex,Apparel,Topwear,Rain Jacket,Coffee Brown,Bytewise,Summer,5,5,NA,Just Natural Unisex Charcoal Rain Jacket,http://assets.myntassets.com/v1/images/style/properties/cbc319393da4e3d0eb140d3c8a045d2c_images.jpg,Rain Jacket,myntassets.com,"Rain Jacket,myntassets.com"
