,ID,Product Id,Category,Name,Brand,Rating,ReviewCount,Description,ImageURL,Tags,Gender
11,12,48123,Belts,Belts,ORLY,4.5,2,Fossil Women Black Huarache Weave Belt,http://assets.myntassets.com/v1/images/style/properties/8eee4563e14cf451b07f27761fd6535f_images.jpg,"Belts,myntassets.com",Women
12,13,18653,Flip Flops,Flip Flops,L'Oreal Paris,3.8,184,Fila Men Cush Flex Black Slippers,http://assets.myntassets.com/v1/images/style/properties/53690e3f396f411e184b249672d6ebae_images.jpg,"Flip Flops,myntassets.com",Men
13,14,47957,Bags,Handbags,Pantene,4.1,413,Murcia Women Blue Handbag,http://assets.myntassets.com/v1/images/style/properties/Murcia-Women-Blue-Handbag_13cfaff26872c298112a8e7da15c1e1d_images.jpg,"Handbags,myntassets.com",Women
14,15,46885,Flip Flops,Flip Flops,Vega,4.2,136,Ben 10 Boys Navy Blue Slippers,http://assets.myntassets.com/v1/images/style/properties/5cab6a2305d0e63142f721228aa6d293_images.jpg,"Flip Flops,myntassets.com",Boys
15,16,12369,Topwear,Shirts,Clairol,3.7,2935,Reid & Taylor Men Check Purple Shirts,http://assets.myntassets.com/v1/images/style/properties/8bc9be576081baae77e8561b1132288f_images.jpg,"Shirts,myntassets.com",Men
16,17,29928,Watches,Watches,Daily Concepts,4.4,10,Police Men Black Dial Watch PL12889JVSB,http://assets.myntassets.com/v1/images/style/properties/Police-Men-Black-Dial-Watch_5bd8cae4fc61052a6f00cfcd69c4a936_images.jpg,"Watches,myntassets.com",Men
17,18,42419,Topwear,Tops,Magnifeko,4.8,12,Gini and Jony Girls Knit White Top,http://assets.myntassets.com/v1/images/style/properties/f3964f76c78edd85f4512d98b26d52e9_images.jpg,"Tops,myntassets.com",Girls
18,19,51832,Innerwear,Bra,Hard Candy,4,38,Bwitch Beige Full-Coverage Bra BW335,http://assets.myntassets.com/v1/image/style/properties/51832/Bwitch-Beige-Full-Coverage-Bra-BW335_1_d516fa94f14f0a5ecc90df7754390eb5.jpg,"Bra,myntassets.com",Women
19,20,47359,Bags,Handbags,Crest,4.5,249,Baggit Women Brown Handbag,http://assets.myntassets.com/v1/images/style/properties/b14c7bf275c6edca3e849200fb7cbf6c_images.jpg,"Handbags,myntassets.com",Women
20,21,17429,Watches,Watches,L'Oreal Paris,4,6494,CASIO G-Shock Men Black Digital Watch G-7710-1DR G223,http://assets.myntassets.com/assets/images/17429/2018/3/5/11520250143953-CASIO-G-Shock-Men-Black-Digital-Watch-G223-8211520250143786-1.jpg,"Watches,myntassets.com",Men
21,22,12967,Sandal,Sandals,TERRO,4.5,39,ADIDAS Men Spry M Black Sandals,http://assets.myntassets.com/v1/images/style/properties/c5a22e9ccf9b10e0a89ffbbf3e386584_images.jpg,"Sandals,myntassets.com",Men
22,23,6842,Shoe Accessories,Shoe Accessories,ACT,5,32,Timberland Unisex Rubber Sole Brush Shoe Accessories,http://assets.myntassets.com/v1/images/style/properties/92589dc7416b70f1a5c6a4c1f13d14e3_images.jpg,"Shoe Accessories,myntassets.com",Unisex
23,24,13089,Topwear,Sweatshirts,Refresh,4.5,300,ADIDAS Men Lfc Auth Hood Grey Sweatshirts,http://assets.myntassets.com/v1/images/style/properties/59912a0287751ff0475c8748dbcf4ea0_images.jpg,"Sweatshirts,myntassets.com",Men
24,25,18461,Fragrance,Deodorant,Hempz,4.5,7,David Beckham Signature Men Deos,http://assets.myntassets.com/v1/images/style/properties/3295fc148576955745c0b259d7968727_images.jpg,"Deodorant,myntassets.com",Men
25,26,9036,Shoes,Formal Shoes,Better Homes & Gardens,4.1,128,Buckaroo Men Flores Black Formal Shoes,http://assets.myntassets.com/v1/images/style/properties/06edc2da9c6d103d299e5e8dafc5b6b9_images.jpg,"Formal Shoes,myntassets.com",Men
26,27,48311,Jewellery,Bracelet,Cetaphil,4.5,300,Pitaraa Women Bronze Beaded Bracelet,http://assets.myntassets.com/v1/images/style/properties/Pitaraa-Women-Golden-Brass-Bead-Bracelet_179aa06939858b54e8e6c80fe12d94d5_images.jpg,"Bracelet,myntassets.com",Women
27,28,7990,Topwear,Tshirts,Hilitand,4.5,300,Fila Men's Round Neck Navy Blue T-shirt,http://assets.myntassets.com/v1/images/style/properties/296a8c388d05d67346db88af27d3b763_images.jpg,"Tshirts,myntassets.com",Men
28,29,56019,Lips,Lipstick,La Mer,4.5,300,Colorbar Soft Touch Show Stopper Copper Lipstick 037,http://assets.myntassets.com/assets/images/56019/2019/1/11/49d718c4-6d86-42d1-8d00-1ce4b7851b2c1547190759839-Colorbar-Soft-Touch-Show-Stopper-Copper-Lipstick-037-2715471-1.jpg,"Lipstick,myntassets.com",Women
29,30,21977,Bags,Handbags,Liverite,4.5,4,Murcia Women Casual Brown Handbag,http://assets.myntassets.com/v1/images/style/properties/88d0bc675d72477729f38c30332e749a_images.jpg,"Handbags,myntassets.com",Women
30,31,37812,Topwear,Shirts,Aveeno,4.5,50,John Players Men Navy Blue Shirt,http://assets.myntassets.com/v1/images/style/properties/3af9f145845d8453a066322de35980af_images.jpg,"Shirts,myntassets.com",Men
31,32,4729,Topwear,Tshirts,Head & Shoulders,4.5,300,Disney Kids Boy's Crew Sea Life Sialing Green Teen Kidswear,http://assets.myntassets.com/v1/images/style/properties/0108969213975af06095ff84a0ec0c72_images.jpg,"Tshirts,myntassets.com",Boys
32,33,56825,Topwear,Shirts,Crest,4.5,468,John Players Men Brown Shirt,http://assets.myntassets.com/v1/images/style/properties/John-Players-Men-Brown-Shirt_7eec3b0568f65dc8f39a534376538551_images.jpg,"Shirts,myntassets.com",Men
33,34,39988,Shoes,Casual Shoes,DenTek,4.5,3,Gas Men Europa White Shoes,http://assets.myntassets.com/v1/images/style/properties/9c3d77147758ab10f12caf6184fe13ef_images.jpg,"Casual Shoes,myntassets.com",Men
34,35,59051,Shoes,Flats,Crest,4.7,51,Carlton London Women Black & Gold Toned Flats,http://assets.myntassets.com/v1/images/style/properties/Carlton-London-Women-Black-Gladiator-Sandals_b8f695202ccc1889f65d57b4000a888f_images.jpg,"Flats,myntassets.com",Women
35,36,20099,Topwear,Kurtas,Crest,4.9,56,Diva Women Embroided Green Kurta,http://assets.myntassets.com/v1/images/style/properties/08a0c29d2ea67ca9449aa54466f6b0a1_images.jpg,"Kurtas,myntassets.com",Women
36,37,58183,Bags,Handbags,Zud,4.7,20,Rocky S Women White Handbag,http://assets.myntassets.com/v1/images/style/properties/Rocky-S-Women-White-Handbag_1440a0abd2ddaf3199965e604831b164_images.jpg,"Handbags,myntassets.com",Women
37,38,29742,Bags,Handbags,Wahl,4.7,388,Kiara Women Teal Handbag,http://assets.myntassets.com/v1/images/style/properties/8b58c65e5634233b165c40cdbbcf58b8_images.jpg,"Handbags,myntassets.com",Women
38,39,51658,Watches,Watches,Equate,4.4,227,Fossil Women Copper Chronograph Watch CH2589,http://assets.myntassets.com/v1/images/style/properties/072af0cd079f20296c72f3594a21f141_images.jpg,"Watches,myntassets.com",Women
39,40,3954,Topwear,Tshirts,Kaboom,4.6,209,Jealous 21 Women's Pink T-shirt,http://assets.myntassets.com/v1/images/style/properties/b56e261f9206aa95e42c43f4e62d0e5a_images.jpg,"Tshirts,myntassets.com",Women
40,41,18839,Belts,Belts,Pantene,4.1,176,Peter England Men Formal Black Belt,http://assets.myntassets.com/v1/images/style/properties/Peter-England-Men-Formal-Black-Beltbc472bd919c505690ecbc1eed8af7fbf_images.jpg,"Belts,myntassets.com",Men
41,42,2886,Shoes,Flats,Attends,3.8,13,Catwalk Women Leather Brown Flats,http://assets.myntassets.com/v1/images/style/properties/94a9deea53125663d9bbe61cb38b84b4_images.jpg,"Flats,myntassets.com",Women
42,43,23278,Watches,Watches,Medline,2,1,Maxima Ssteele Men Off White Watch,http://assets.myntassets.com/v1/images/style/properties/93aa34922c6446706c003ba2255747f5_images.jpg,"Watches,myntassets.com",Men
43,44,28690,Topwear,Kurtas,Finish,4.6,112,W Women Printed Beige Kurta,http://assets.myntassets.com/v1/images/style/properties/df0a23e732654c5e7db3888e39393e79_images.jpg,"Kurtas,myntassets.com",Women
44,45,8580,Topwear,Waistcoat,Crest,4.5,86,Scullers Men  Grey Waistcoat,http://assets.myntassets.com/v1/images/style/properties/0d2e2ceaaf6d09d447caad678b2edbe6_images.jpg,"Waistcoat,myntassets.com",Men
45,46,3168,Shoes,Sports Shoes,Clairol,3.9,401,Nike Men's Incinerate MSL White Blue Shoe,http://assets.myntassets.com/v1/images/style/properties/4eff2353c62ec8b7bca9fbbaf5996bd2_images.jpg,"Sports Shoes,myntassets.com",Men
46,47,18005,Bottomwear,Shorts,Crest,4.7,15,Puma Men Long Logo Black Bermuda,http://assets.myntassets.com/v1/images/style/properties/91ca48e3204f23cd376fad7f186875bf_images.jpg,"Shorts,myntassets.com",Men
47,48,17871,Innerwear,Briefs,CHI,4.5,75,Levis Men Boxer Maroon Brief,http://assets.myntassets.com/v1/images/style/properties/155353efc674d253e30c213ca07bbb0b_images.jpg,"Briefs,myntassets.com",Men
48,49,9452,Topwear,Shirts,Sexy Hair,4.6,10,John Miller Men Stripes White Red Shirts,http://assets.myntassets.com/v1/images/style/properties/5e557eb0be7c6420f7c7a6bbaa432993_images.jpg,"Shirts,myntassets.com",Men
49,50,38402,Belts,Belts,Makari,4.5,300,Baggit Women Hood Dabang Black Belt,http://assets.myntassets.com/v1/images/style/properties/2eb3aa5eefb3319f10f7815100a18e3c_images.jpg,"Belts,myntassets.com",Women
50,51,44984,Watches,Watches,Truform,4.2,59,Maxima Women White Dial Watch,http://assets.myntassets.com/v1/images/style/properties/676dd802241d46a5ce28c78d1dabbc5a_images.jpg,"Watches,myntassets.com",Women
51,52,10268,Shoes,Formal Shoes,Fudge Professional,4.5,300,Clarks Men Hang Work Leather Black Formal Shoes,http://assets.myntassets.com/v1/images/style/properties/2976e4095e7b3ae2de99df54d2adeaaa_images.jpg,"Formal Shoes,myntassets.com",Men
52,53,45856,Topwear,Kurtas,SIMPLE WONDERS,4.7,19,Vishudh Women Brown Kurta,http://assets.myntassets.com/v1/images/style/properties/fee54b57fcd02b7c07d42b0918025099_images.jpg,"Kurtas,myntassets.com",Women
53,54,32138,Innerwear,Briefs,Natracare,3,2,Playboy Men Blue Titanium Briefs,http://assets.myntassets.com/v1/images/style/properties/Playboy-Men-Blue-Titanium-Briefs_5c63c52edabbab43f6aefc52842d73f2_images.jpg,"Briefs,myntassets.com",Men
54,55,59435,Shoes,Formal Shoes,Sun&Skincare,4.5,300,Arrow Men Black Formal Shoes,http://assets.myntassets.com/v1/images/style/properties/Arrow-Men-Black-Formal-Shoes_70a3c7c185338a5636c8c0e668829bb6_images.jpg,"Formal Shoes,myntassets.com",Men
55,56,5891,Topwear,Tshirts,Depend,4.5,1412,Puma Men's Stripe Polo Black T-shirt,http://assets.myntassets.com/v1/images/style/properties/02e4e32cd9d09052f0ec3d46fa747d39_images.jpg,"Tshirts,myntassets.com",Men
56,57,38630,Topwear,Tshirts,Grisi,4.5,300,Nike Women Purple Polo T-shirt,http://assets.myntassets.com/v1/images/style/properties/206a0614c4644cd8816576efd47d60d8_images.jpg,"Tshirts,myntassets.com",Women
57,58,4943,Topwear,Shirts,L'Oreal Paris,4.5,300,Gini and Jony Boy's Kaleb White Brown Kidswear,http://assets.myntassets.com/v1/images/style/properties/1aae016d0abb224cfc18e6bd9bb01ad1_images.jpg,"Shirts,myntassets.com",Men
58,59,11188,Watches,Watches,Humco,5,1,Carrera Men Dial steel finish strap Silver Watches,http://assets.myntassets.com/v1/images/style/properties/b2959d44db543af13d78492225a830de_images.jpg,"Watches,myntassets.com",Men
59,60,10866,Topwear,Tshirts,Dr. Hauschka,4.5,300,Wrangler Men Motor Rider Red T-Shirts,http://assets.myntassets.com/v1/images/style/properties/b34550bc6415dcd66892de4ef2837fd9_images.jpg,"Tshirts,myntassets.com",Men
60,61,59607,Saree,Sarees,OGX,4.3,44,FNF Pink & Grey Wedding Collection Sari,http://assets.myntassets.com/v1/images/style/properties/FNF-Green-Collection-for-Wedding-Wear-Sari_6c60eef0b8d9cff87cfcd1f73953e5cd_images.jpg,"Sarees,myntassets.com",Women
61,62,15528,Topwear,Tshirts,COVERGIRL,4.3,713,Puma Men Scribble Black Tshirts,http://assets.myntassets.com/v1/images/style/properties/cd16e955e4b6b3f9d7089c15652a3f00_images.jpg,"Tshirts,myntassets.com",Men
62,63,45258,Watches,Watches,Scotch-Brite,4.3,6,CASIO EDIFICE Men Black Dial Chronograph Watch ED60,http://assets.myntassets.com/v1/images/style/properties/b8024bdd3fc47c2b20bd840f89811979_images.jpg,"Watches,myntassets.com",Men
63,64,42841,Bags,Handbags,Sportuli,4.5,5,French Connection Women Beige Handbag,http://assets.myntassets.com/v1/images/style/properties/97d3bb4a71c9f7da88305ce9144d8576_images.jpg,"Handbags,myntassets.com",Women
64,65,22198,Shoes,Casual Shoes,Neutrogena,4.2,741,Timberland Men Black Casual Shoes,http://assets.myntassets.com/v1/images/style/properties/70e74ca34b3b534b19d6b006d5bfad0a_images.jpg,"Casual Shoes,myntassets.com",Men
65,66,29570,Shoes,Casual Shoes,Sivan Health and Fitness,4.5,2,Vans Men Classic Slip-On Purple & Black Shoes,http://assets.myntassets.com/v1/images/style/properties/49f884ddf4420d869ad143857d3bc33d_images.jpg,"Casual Shoes,myntassets.com",Men
66,67,43993,Fragrance,Perfume and Body Mist,Fixodent,4.7,101,Police Women Passion Perfume,http://assets.myntassets.com/v1/images/style/properties/438c41900a80acabb3ef197f0559a9eb_images.jpg,"Perfume and Body Mist,myntassets.com",Women
67,68,6628,Shoes,Sports Shoes,Herbal Essences,4.2,66,ADIDAS Men's Lowell White Silver Shoe,http://assets.myntassets.com/v1/images/style/properties/0707b75d2d44e9cec9d27c944294ddbe_images.jpg,"Sports Shoes,myntassets.com",Men
68,69,54924,Bottomwear,Shorts,Tinactin,4.6,5,Do U Speak Green Men Blue Shorts,http://assets.myntassets.com/v1/images/style/properties/Do-u-speak-green-Men-Blue-Shorts_40b6775eae62124195817a64d4ae4a93_images.jpg,"Shorts,myntassets.com",Men
69,70,26538,Shoes,Casual Shoes,Design Essentials,5,1,ID Men Red Shoes,http://assets.myntassets.com/v1/images/style/properties/6a6ebc47eaf2fe034bcfd94060a285ba_images.jpg,"Casual Shoes,myntassets.com",Men
70,71,35913,Bags,Handbags,L'Oreal Paris,4.5,1860,Peperone Women Black & White Handbag,http://assets.myntassets.com/v1/images/style/properties/73bc7d63943231e4df1c7b7600496a3d_images.jpg,"Handbags,myntassets.com",Women
71,72,49495,Shoes,Casual Shoes,La Roche-Posay,4.5,25,Vans Men Khaki Shoes,http://assets.myntassets.com/v1/images/style/properties/Vans-Men-Khaki-Shoes_dcaf7c703e9c0396650529df2b2a8893_images.jpg,"Casual Shoes,myntassets.com",Men
72,73,9660,Topwear,Shirts,L'Oreal Paris,3.4,978,Indigo Nation Men Reversible Bling Pink Shirts,http://assets.myntassets.com/v1/images/style/properties/0be615f02ae1f1cfe78155555a79007c_images.jpg,"Shirts,myntassets.com",Men
73,74,2288,Topwear,Tshirts,RESOLVE,4.5,57,Nike Women Black T-shirt,http://assets.myntassets.com/v1/images/style/properties/135f9aa8141d682fc218393049c70324_images.jpg,"Tshirts,myntassets.com",Women
74,75,23876,Topwear,Sweatshirts,Coochy,4.5,4,ADIDAS Men Blue Sweatshirt,http://assets.myntassets.com/v1/images/style/properties/fcd52c6506b43f3af116a62c2ea81204_images.jpg,"Sweatshirts,myntassets.com",Men
75,76,18237,Topwear,Tshirts,Gibs Grooming,4.5,6,Manchester United Men Solid Red Tshirt,http://assets.myntassets.com/v1/images/style/properties/eba1c1b241555d8afa3f7232ed2c6933_images.jpg,"Tshirts,myntassets.com",Men
76,77,54118,Shoes,Heels,L'Oreal Paris,4.5,9,Rocia Women Black Flats,http://assets.myntassets.com/v1/images/style/properties/8d6fd53f28e010658cdf5c14c43d0cb0_images.jpg,"Heels,myntassets.com",Women
77,78,2872,Shoes,Heels,Turtle Wax,4,85,Catwalk Women Leather Flats,http://assets.myntassets.com/v1/images/style/properties/4d90e05b9e99e203b3ce191439619bcb_images.jpg,"Heels,myntassets.com",Women
78,79,49653,Topwear,Tops,Paul Sebastian,4.8,28,Mineral Women Green Top,http://assets.myntassets.com/v1/images/style/properties/fe446adf94f9beb301b61bfc75a70bfa_images.jpg,"Tops,myntassets.com",Women
79,80,8574,Sandal,Sandals,Rimmel,5,2,Crocs Dora Boots Pink Sandals,http://assets.myntassets.com/v1/images/style/properties/0be6693dafb4261645b22c6e9e7e67f4_images.jpg,"Sandals,myntassets.com",Women
80,81,16957,Eyewear,Sunglasses,Nutrisse,4.5,300,Image Men Sunglasses,http://assets.myntassets.com/v1/images/style/properties/Image-Men-Classic-Eyewear-Black-Sunglasses_a37f3b87d0d05062ed063adc7aac78bf_images.jpg,"Sunglasses,myntassets.com",Men
81,82,19123,Flip Flops,Flip Flops,ProCare,4.5,2,Lotto Men XL Water Man Silver Slippers,http://assets.myntassets.com/v1/images/style/properties/69482728a521cbd2ba571e36016d5f63_images.jpg,"Flip Flops,myntassets.com",Men
82,83,13419,Topwear,Tshirts,ShiKai,4.5,300,United Colors of Benetton Men Solid Pink Polo T-shirts,http://assets.myntassets.com/v1/images/style/properties/8d7f0bbb0bdefcbcc692bcdf4a6400ee_images.jpg,"Tshirts,myntassets.com",Men
83,84,17885,Innerwear,Innerwear Vests,Eucerin,4.6,126,Levis Men Comfort Style Grey Innerwear Vest,http://assets.myntassets.com/v1/images/style/properties/c5c095c0e09eb200aa8d57457c53ec07_images.jpg,"Innerwear Vests,myntassets.com",Men
84,85,43369,Flip Flops,Flip Flops,cleen beauty,4.6,40,Reebok Men Black Possession Flip Flops,http://assets.myntassets.com/v1/images/style/properties/647838a2e988ab55b76c9aa9ddd15ad7_images.jpg,"Flip Flops,myntassets.com",Men
85,86,48781,Jewellery,Pendant,Bioastin,5,3,Lucera Women Silver Pendant,http://assets.myntassets.com/v1/images/style/properties/aff52e6e6bc208923a493612e8f6a3e7_images.jpg,"Pendant,myntassets.com",Women
86,87,44970,Watches,Watches,L'Oreal Paris,3.1,2144,Maxima Men White Dial Analog Chronograph Watch,http://assets.myntassets.com/v1/images/style/properties/80c170d3a8e46c81f22ecebd1f772d32_images.jpg,"Watches,myntassets.com",Men
87,88,56489,Nails,Nail Polish,Joico,4.5,300,Streetwear Ash Nail Polish # 31,http://assets.myntassets.com/v1/images/style/properties/Streetwear-Ash-Nail-Polish--31_21d33100dbf0e4b8bb0b33a980de469b_images.jpg,"Nail Polish,myntassets.com",Women
88,89,39524,Bags,Laptop Bag,NatraTouch,4.5,2,Peter England Unisex Orange Sleeve Bag,http://assets.myntassets.com/v1/images/style/properties/1847a81fa1d237bfbae1e797dff55909_images.jpg,"Laptop Bag,myntassets.com",Unisex
89,90,33822,Shoes,Sports Shoes,LISTERINE,4.8,767,Puma Men Axis White & Grey Sports Shoes,http://assets.myntassets.com/v1/images/style/properties/52ad8ae288ba080d88a116b3c70305ec_images.jpg,"Sports Shoes,myntassets.com",Men
90,91,58513,Topwear,Tops,Bluebonnet,4.5,300,Tonga Women Maroon Top,http://assets.myntassets.com/v1/images/style/properties/Tonga-Women-Maroon-Top_e5cc855ba59e5640817434d45f9c088d_images.jpg,"Tops,myntassets.com",Women
91,92,25947,Scarves,Scarves,Hard Candy,4.5,4,Femella Women Brown Scarf,http://assets.myntassets.com/v1/images/style/properties/aeb9132a29d8844aca73a4544d8135c5_images.jpg,"Scarves,myntassets.com",Women
92,93,52029,Topwear,Rain Jacket,Bytewise,4.5,300,Just Natural Unisex Charcoal Rain Jacket,http://assets.myntassets.com/v1/images/style/properties/cbc319393da4e3d0eb140d3c8a045d2c_images.jpg,"Rain Jacket,myntassets.com",Unisex
93,94,5865,Topwear,Tshirts,essie,4.7,4727,ADIDAS Men's Twelve Faster T-shirt,http://assets.myntassets.com/v1/images/style/properties/2d986dbf9e5f64e3ab8471120c557db4_images.jpg,"Tshirts,myntassets.com",Men
94,95,39716,Dress,Dresses,AG Hair,4.5,300,Arrow Woman Women Blue Dress,http://assets.myntassets.com/v1/images/style/properties/c5b0d7c1f0308be020655bc10ca16427_images.jpg,"Dresses,myntassets.com",Women
95,96,25349,Innerwear,Briefs,Aquaphor,4.7,642,Levis Men Red Brief,http://assets.myntassets.com/v1/images/style/properties/07f0136ab41d3167b3d1e8b84cfc5107_images.jpg,"Briefs,myntassets.com",Men
96,97,11940,Sandal,Sandals,Redken,4.5,10,Ganuchi Men Casual Black Sandals,http://assets.myntassets.com/v1/images/style/properties/b23f1e70aec0102c360fb9dfdc476023_images.jpg,"Sandals,myntassets.com",Men
97,98,55802,Loungewear and Nightwear,Night suits,Vega,4.2,499,SDL by Sweet Dreams Women Green Printed Night Suit S11-3124,http://assets.myntassets.com/v1/images/style/properties/SDL-by-Sweet-Dreams-Women-White-Pyjama-Set_debea45adf6bdb5816030e5d05b53d2f_images.jpg,"Night suits,myntassets.com",Women
98,99,29584,Topwear,Tshirts,Dermaflash,4.7,11,Indigo Nation Men Printed Black T-shirt,http://assets.myntassets.com/v1/images/style/properties/7a1bc7d255671c7f4b85f1b1b35e945b_images.jpg,"Tshirts,myntassets.com",Men
99,100,43967,Fragrance,Perfume and Body Mist,Vaseline,4.5,125,DKNY Women Red Delicious Perfume,http://assets.myntassets.com/v1/images/style/properties/2965814bbf6d6a14e720c712941b323c_images.jpg,"Perfume and Body Mist,myntassets.com",Women
100,101,28456,Bottomwear,Skirts,Black Radiance,4.9,27,Urban Yoga Women Blue Skirt With Leggings,http://assets.myntassets.com/v1/images/style/properties/c3a37f190933411b11c0fa488bc8bc4d_images.jpg,"Skirts,myntassets.com",Women
101,102,34009,Topwear,Tops,Philips,5,2,Gini and Jony Girls Black Top,http://assets.myntassets.com/v1/images/style/properties/dce310e4c15223a6c964631190263284_images.jpg,"Tops,myntassets.com",Girls
102,103,19311,Shoes,Casual Shoes,DenTek,4.6,78,Nike Men Air Rift MTR White Casual Shoe,http://assets.myntassets.com/v1/images/style/properties/ac5a2fb9462db16f4cf5fc0f3616a9e6_images.jpg,"Casual Shoes,myntassets.com",Men
103,104,42089,Shoes,Sports Shoes,Nexxus,4.5,1720,ADIDAS Men White Corona Sports Shoes,http://assets.myntassets.com/v1/images/style/properties/5059a8f382c53105f1bdce6780543934_images.jpg,"Sports Shoes,myntassets.com",Men
104,105,22950,Watches,Watches,Wrapables,4.9,10,Fastrack Unisex Black Dial Watch 9915PP13,http://assets.myntassets.com/v1/images/style/properties/1de1449cc15d68bc4e53fac49a1e0e18_images.jpg,"Watches,myntassets.com",Unisex
105,106,49461,Shoes,Casual Shoes,COVERGIRL,4.5,1038,Vans Men Blue Era Scilla Plaid Shoes,http://assets.myntassets.com/v1/images/style/properties/Vans-Men-Blue-Casual-Shoes_f9ad04b071e06c34a04e2c0a047d58a1_images.jpg,"Casual Shoes,myntassets.com",Men
106,107,8746,Flip Flops,Flip Flops,Watkins,4.5,7,Crocs Kids Navy Blue Clogs,http://assets.myntassets.com/v1/images/style/properties/Crocs-Kids-Navy-Blue-Clogs_dd0334757683ef726ca116cc7b8b6012_images.jpg,"Flip Flops,myntassets.com",Unisex
107,108,9694,Topwear,Tshirts,BabyGanics,4.5,67,Classic Polo Men Vulcan White Polo Tshirts,http://assets.myntassets.com/v1/images/style/properties/9b9622c9c440e59a67c876cf07706f3c_images.jpg,"Tshirts,myntassets.com",Men
108,109,23882,Shoes,Sports Shoes,OPI,3,1,Fila Men Destiny Grey Sports Shoes,http://assets.myntassets.com/v1/images/style/properties/498da65eeee9a23f2049449258384d55_images.jpg,"Sports Shoes,myntassets.com",Men
109,110,34835,Shoes,Sports Shoes,COVERGIRL,4.5,1069,ADIDAS Men Blue Chill Sports Shoes,http://assets.myntassets.com/v1/images/style/properties/c0abfa74fe61af6ba9e5f4936f45e6c7_images.jpg,"Sports Shoes,myntassets.com",Men
110,111,15984,Topwear,Shirts,NOW,4.5,23,Turtle Check Men Yellow Shirt,http://assets.myntassets.com/v1/images/style/properties/1049df82b306da238c324c6c7031b135_images.jpg,"Shirts,myntassets.com",Men
111,112,41268,Wallets,Wallets,LISTERINE,4.5,1015,Arrow Men Black Wallet,http://assets.myntassets.com/v1/images/style/properties/7cc4a01bf1667b6954fb9d44bfdda095_images.jpg,"Wallets,myntassets.com",Men
112,113,11518,Shoes,Heels,Obagi,4.5,4,Catwalk Women Gun Metal Grey Heels,http://assets.myntassets.com/v1/images/style/properties/cea14ca6ae7273963babfa80798aa61c_images.jpg,"Heels,myntassets.com",Women
113,114,14856,Wallets,Wallets,Oral-B,4.7,474,United Colors of Benetton Women Solid Beige Wallets,http://assets.myntassets.com/v1/images/style/properties/22ab917e5ff62a05d1d932daf35cf158_images.jpg,"Wallets,myntassets.com",Women
114,115,33648,Sandal,Sandals,Victoria's Secret,4,5,Lotto Men Ridge Brown Sandals,http://assets.myntassets.com/v1/images/style/properties/42344fe581af7a4c62d2a39ceb57be24_images.jpg,"Sandals,myntassets.com",Men
